,c,r
3302,184012,1
3303,184015,0
3304,184018,0
3305,184021,1
3306,184024,1
3307,184027,0
3308,184030,1
3309,184033,0
3310,184036,0
3311,184039,0
3312,184042,1
3313,184045,1
3314,184048,0
3315,184051,1
3316,184054,0
3317,184057,0
3318,184060,1
3319,184063,0
3320,184066,1
3321,184069,0
3322,184072,0
3323,184075,1
3324,184078,0
3325,184081,1
3326,184084,0
3327,184087,1
3328,184090,1
3329,184093,1
3330,184096,1
3331,184099,0
3332,184102,1
3333,184105,1
3334,184108,1
3335,184111,1
3336,184114,1
3337,184117,0
3338,184120,0
3339,184123,1
3340,184126,1
3341,184129,1
3342,184132,0
3343,184135,0
3344,184138,1
3345,184141,0
3346,184144,1
3347,184147,1
3348,184150,1
3349,184153,1
3350,184156,0
3351,184159,1
3352,184162,0
3353,184165,0
3354,184168,1
3355,184171,0
3356,184174,0
3357,184177,1
3358,184180,0
3359,184183,0
3360,184186,0
3361,184189,1
3362,184192,0
3363,184195,1
3364,184198,0
3365,184201,1
3366,184204,1
3367,184207,1
3368,184210,1
3369,184213,1
3370,184216,1
3371,184219,1
3372,184222,1
3373,184225,1
3374,184228,1
3375,184231,1
3376,184234,0
3377,184237,0
3378,184240,0
3379,184243,1
3380,184246,1
3381,184249,0
3382,184252,0
3383,184255,0
3384,184258,0
3385,184261,0
3386,184264,0
3387,184267,0
3388,184270,0
3389,184273,1
3390,184276,1
3391,184279,0
3392,184282,1
3393,184285,0
3394,184288,0
3395,184291,1
3396,184294,0
3397,184297,0
3398,184300,0
3399,184303,0
3400,184306,1
3401,184309,1
3402,184312,1
3403,184315,0
3404,184318,1
3405,184321,1
3406,184324,1
3407,184327,0
3408,184330,0
3409,184333,0
3410,184336,1
3411,184339,0
3412,184342,1
3413,184345,0
3414,184348,0
3415,184351,1
3416,184354,1
3417,184357,1
3418,184360,0
3419,184363,1
3420,184366,0
3421,184369,0
3422,184372,0
3423,184379,1
3424,184382,0
3425,184385,1
3426,184388,0
3427,184391,1
3428,184394,0
3429,184397,0
3430,184400,1
3431,184403,0
3432,184406,1
3433,184409,0
3434,184412,0
3435,184415,0
3436,184418,1
3437,184421,0
3438,184424,1
3439,184427,1
3440,184430,1
3441,184433,1
3442,184436,1
3443,184439,0
3444,184442,1
3445,184445,1
3446,184448,0
3447,184451,1
3448,184454,0
3449,184457,1
3450,184460,1
3451,184463,1
3452,184466,1
3453,184469,0
3454,184472,1
3455,184475,0
3456,184478,0
3457,184481,1
3458,184484,1
3459,184487,0
3460,184490,1
3461,184493,0
3462,184496,0
3463,184499,1
3464,184502,0
3465,184505,1
3466,184508,1
3467,184511,1
3468,184514,1
3469,184517,1
3470,184520,1
3471,184523,0
3472,184526,0
3473,184529,0
3474,184532,1
3475,184535,0
3476,184538,1
3477,184541,1
3478,184544,0
3479,184547,1
3480,184550,1
3481,184553,1
3482,184556,0
3483,184559,1
3484,184562,1
3485,184565,0
3486,184568,1
3487,184571,0
3488,184574,1
3489,184577,0
3490,184580,0
3491,184583,0
3492,184586,0
3493,184589,1
3494,184592,1
3495,184595,1
3496,184598,1
3497,184601,1
3498,184604,1
3499,184607,1
3500,184610,0
3501,184613,0
3502,184616,0
3503,184619,1
3504,184622,0
3505,184625,0
3506,184628,1
3507,184631,1
3508,184634,0
3509,184637,1
3510,184640,1
3511,184643,1
3512,184646,1
3513,184649,1
3514,184652,0
3515,184655,0
3516,184658,0
3517,184661,0
3518,184664,1
3519,184667,1
3520,184670,0
3521,184673,1
3522,184676,0
3523,184679,0
3524,184682,0
3525,184685,1
3526,184688,0
3527,184691,0
3528,184694,0
3529,184697,0
3530,184700,0
3531,184703,1
3532,184706,1
3533,184709,1
3534,184712,1
3535,184715,1
3536,184718,1
3537,184721,1
3538,184724,1
3539,184727,1
3540,184730,0
3541,184733,0
3542,184736,0
3543,184739,1
3544,184742,1
3545,184745,1
3546,184748,1
3547,184751,1
3548,184754,1
3549,184757,0
3550,184760,0
3551,184763,0
3552,184766,1
3553,184769,1
3554,184772,0
3555,184775,1
3556,184778,1
3557,184781,1
3558,184784,1
3559,184787,0
3560,184790,0
3561,184793,1
3562,184796,1
3563,184799,1
3564,184802,0
3565,184805,0
3566,184808,0
3567,184811,1
3568,184814,1
3569,184817,1
3570,184820,0
3571,184823,0
3572,184826,0
3573,184829,1
3574,184832,1
3575,184835,1
3576,184838,0
3577,184841,0
3578,184844,0
3579,184847,0
3580,184850,1
3581,184853,0
3582,184856,0
3583,184859,0
3584,184862,0
3585,184865,1
3586,184868,1
3587,184871,1
3588,184874,1
3589,184877,0
3590,184880,1
3591,184883,0
3592,184886,1
3593,184889,1
3594,184892,1
3595,184895,1
3596,184898,0
3597,184901,0
3598,184904,1
3599,184907,1
3600,184910,1
3601,184913,0
3602,184916,1
3603,184919,1
3604,184922,0
3605,184925,0
3606,184928,1
3607,184931,0
3608,184934,1
3609,184937,0
3610,184940,1
3611,184943,1
3612,184946,0
3613,184949,1
3614,184952,1
3615,184955,1
3616,184958,0
3617,184961,0
3618,184964,1
3619,184967,1
3620,184970,0
3621,184973,0
3622,184976,0
3623,184979,0
3624,184982,1
3625,184985,1
3626,184988,1
3627,184991,1
3628,184994,0
3629,184997,0
3630,185000,1
3631,185003,0
3632,185006,1
3633,185009,1
3634,185012,0
3635,185015,0
3636,185018,1
3637,185021,0
3638,185024,1
3639,185027,0
3640,185030,1
3641,185033,0
3642,185036,1
3643,185039,1
3644,185042,0
3645,185045,1
3646,185048,0
3647,185051,1
3648,185054,0
3649,185057,0
3650,185060,1
3651,185063,1
3652,185066,1
3653,185069,1
3654,185072,0
3655,185075,1
3656,185078,0
3657,185099,0
3658,185102,0
3659,185105,1
3660,185108,1
3661,185111,0
3662,185114,0
3663,185117,1
3664,185120,0
3665,185123,1
3666,185126,1
3667,185129,0
3668,185132,0
3669,185135,0
3670,185138,1
3671,185141,0
3672,185144,1
3673,185147,1
3674,185150,1
3675,185153,1
3676,185156,1
3677,185159,1
3678,185162,1
3679,185165,1
3680,185168,0
3681,185171,0
3682,185174,1
3683,185177,1
3684,185180,1
3685,185183,0
3686,185186,1
3687,185189,1
3688,185192,0
3689,185195,0
3690,185198,1
3691,185201,0
3692,185204,0
3693,185207,1
3694,185210,0
3695,185213,0
3696,185216,1
3697,185219,0
3698,185222,0
3699,185225,1
3700,185228,1
3701,185231,1
3702,185234,1
3703,185237,1
3704,185240,0
3705,185243,0
3706,185246,1
3707,185249,0
3708,185252,0
3709,185255,1
3710,185258,0
3711,185261,0
3712,185264,1
3713,185267,1
3714,185270,0
3715,185273,0
3716,185276,1
3717,185279,1
3718,185282,1
3719,185285,0
3720,185288,0
3721,185291,1
3722,185294,0
3723,185297,1
3724,185300,1
3725,185303,1
3726,185306,0
3727,185309,1
3728,185312,0
3729,185315,0
3730,185318,1
3731,185321,1
3732,185324,1
3733,185327,0
3734,185330,1
3735,185333,0
3736,185336,0
3737,185339,0
3738,185342,0
3739,185345,1
3740,185348,0
3741,185351,1
3742,185354,1
3743,185357,0
3744,185360,0
3745,185363,0
3746,185366,0
3747,185369,0
3748,185372,0
3749,185379,1
3750,185382,0
3751,185385,0
3752,185388,0
3753,185391,0
3754,185394,0
3755,185397,0
3756,185400,0
3757,185403,1
3758,185406,0
3759,185409,1
3760,185419,0
3761,185422,0
3762,185425,0
3763,185428,0
3764,185431,0
3765,185434,0
3766,185437,1
3767,185440,1
3768,185443,0
3769,185446,1
3770,185449,0
3771,185452,0
3772,185455,1
3773,185458,0
3774,185461,0
3775,185464,0
3776,185467,0
3777,185470,1
3778,185473,0
3779,185476,1
3780,185479,0
3781,185482,1
3782,185485,0
3783,185488,1
3784,185491,0
3785,185494,0
3786,185497,1
3787,185500,0
3788,185503,0
3789,185506,0
3790,185509,1
3791,185512,1
3792,185515,0
3793,185518,1
3794,185521,0
3795,185524,0
3796,185527,0
3797,185530,1
3798,185533,1
3799,185536,0
3800,185539,1
3801,185542,0
3802,185545,1
3803,185548,1
3804,185551,0
3805,185554,0
3806,185557,0
3807,185560,0
3808,185563,1
3809,185566,1
3810,185569,0
3811,185572,1
3812,185575,1
3813,185578,1
3814,185581,1
3815,185584,0
3816,185587,1
3817,185590,1
3818,185593,0
3819,185596,1
3820,185599,0
3821,185602,1
3822,185605,1
3823,185608,0
3824,185611,0
3825,185614,0
3826,185617,0
3827,185620,0
3828,185623,1
3829,185626,0
3830,185629,1
3831,185632,0
3832,185635,1
3833,185638,0
3834,185641,0
3835,185644,0
3836,185647,1
3837,185650,0
3838,185653,0
3839,185656,0
3840,185659,0
3841,185662,0
3842,185665,0
3843,185668,1
3844,185671,1
3845,185674,0
3846,185677,1
3847,185680,0
3848,185683,1
3849,185686,1
3850,185689,1
3851,185692,0
3852,185695,1
3853,185698,1
3854,185701,0
3855,185704,0
3856,185707,1
3857,185710,1
3858,185719,0
3859,185722,1
3860,185725,1
3861,185728,1
3862,185731,1
3863,185734,1
3864,185737,1
3865,185740,0
3866,185743,0
3867,185746,1
3868,185749,0
3869,185752,0
3870,185755,1
3871,185759,1
3872,185762,1
3873,185765,1
3874,185768,1
3875,185771,1
3876,185774,0
3877,185777,1
3878,185780,0
3879,185783,0
3880,185786,1
3881,185789,1
3882,185792,0
3883,185795,1
3884,185798,1
3885,185801,0
3886,185804,0
3887,185807,1
3888,185810,1
3889,185813,1
3890,185816,0
3891,185819,0
3892,185822,0
3893,185825,1
3894,185828,0
3895,185831,0
3896,185834,1
3897,185837,0
3898,185840,0
3899,185843,0
3900,185846,1
3901,185849,1
3902,185852,0
3903,185855,0
3904,185858,1
3905,185861,0
3906,185864,1
3907,185867,1
3908,185870,0
3909,185873,1
3910,185876,0
3911,185879,0
3912,185882,1
3913,185885,1
3914,185888,0
3915,185891,0
3916,185894,0
3917,185897,1
3918,185900,1
3919,185903,1
3920,185906,0
3921,185909,1
3922,185912,1
3923,185915,1
3924,185918,1
3925,185921,0
3926,185924,1
3927,185927,1
3928,185930,0
3929,185933,0
3930,185936,1
3931,185939,0
3932,185942,0
3933,185945,0
3934,185948,0
3935,185951,0
3936,185954,0
3937,185957,1
3938,185960,1
3939,185963,0
3940,185966,0
3941,185969,1
3942,185972,1
3943,185975,1
3944,185978,1
3945,185981,1
3946,185984,0
3947,185987,0
3948,185990,1
3949,185993,1
3950,185996,1
3951,185999,0
3952,186002,1
3953,186005,0
3954,186008,0
3955,186011,0
3956,186014,0
3957,186017,1
3958,186020,0
3959,186023,0
3960,186026,1
3961,186029,0
3962,186032,1
3963,186035,0
3964,186038,1
3965,186041,1
3966,186044,1
3967,186047,1
3968,186050,0
3969,186053,0
3970,186056,1
3971,186059,1
3972,186062,1
3973,186065,1
3974,186068,0
3975,186079,0
3976,186082,0
3977,186085,1
3978,186088,1
3979,186091,0
3980,186094,1
3981,186097,1
3982,186100,1
3983,186103,0
3984,186106,1
3985,186109,0
3986,186112,0
3987,186115,1
3988,186118,0
3989,186121,0
3990,186124,0
3991,186139,1
3992,186142,1
3993,186145,1
3994,186148,0
3995,186151,0
3996,186154,1
3997,186157,1
3998,186160,0
3999,186163,0
4000,186166,0
4001,186169,1
4002,186172,1
4003,186175,0
4004,186178,0
4005,186181,0
4006,186184,0
4007,186187,1
4008,186190,1
4009,186193,1
4010,186196,1
4011,186199,0
4012,186202,1
4013,186205,1
4014,186208,0
4015,186211,0
4016,186214,1
4017,186217,1
4018,186220,1
4019,186223,1
4020,186226,0
4021,186229,0
4022,186232,0
4023,186235,0
4024,186238,0
4025,186241,0
4026,186244,0
4027,186247,1
4028,186250,1
4029,186253,1
4030,186256,1
4031,186259,0
4032,186262,1
4033,186265,0
4034,186268,1
4035,186271,1
4036,186274,1
4037,186277,1
4038,186280,1
4039,186283,0
4040,186286,1
4041,186289,1
4042,186292,1
4043,186295,0
4044,186298,0
4045,186301,0
4046,186304,0
4047,186307,1
4048,186310,0
4049,186313,1
4050,186316,1
4051,186319,1
4052,186322,0
4053,186325,0
4054,186328,0
4055,186331,1
4056,186334,0
4057,186337,0
4058,186340,0
4059,186343,1
4060,186346,0
4061,186349,1
4062,186352,1
4063,186355,1
4064,186358,1
4065,186361,1
4066,186364,1
4067,186367,1
4068,186370,1
4069,186373,0
4070,186376,1
4071,186379,0
4072,186382,0
4073,186385,0
4074,186388,0
4075,186391,0
4076,186394,0
4077,186397,1
4078,186400,0
4079,186403,1
4080,186406,1
4081,186409,1
4082,186412,1
4083,186415,0
4084,186418,1
4085,186421,0
4086,186424,0
4087,186427,1
4088,186430,1
4089,186433,0
4090,186436,1
4091,186439,1
4092,186442,1
4093,186445,0
4094,186448,0
4095,186451,0
4096,186454,0
4097,186457,1
4098,186460,1
4099,186463,0
4100,186466,1
4101,186469,0
4102,186472,1
4103,186475,1
4104,186478,0
4105,186481,1
4106,186484,1
4107,186487,0
4108,186490,1
4109,186493,1
4110,186496,1
4111,186499,1
4112,186502,0
4113,186505,0
4114,186508,0
4115,186511,0
4116,186514,1
4117,186517,1
4118,186520,1
4119,186523,0
4120,186526,1
4121,186529,0
4122,186532,0
4123,186535,0
4124,186538,0
4125,186541,0
4126,186544,1
4127,186547,0
4128,186550,0
4129,186553,0
4130,186556,1
4131,186559,0
4132,186562,0
4133,186565,0
4134,186568,0
4135,186571,0
4136,186574,1
4137,186577,1
4138,186580,0
4139,186583,1
4140,186586,1
4141,186589,0
4142,186592,1
4143,186595,1
4144,186598,1
4145,186601,1
4146,186604,1
4147,186607,0
4148,186610,1
4149,186613,1
4150,186616,0
4151,186619,1
4152,186622,0
4153,186625,1
4154,186628,0
4155,186631,0
4156,186634,0
4157,186637,0
4158,186640,0
4159,186643,0
4160,186646,0
4161,186649,1
4162,186652,0
4163,186655,0
4164,186658,1
4165,186661,1
4166,186664,0
4167,186667,1
4168,186670,1
4169,186673,0
4170,186676,1
4171,186679,0
4172,186682,1
4173,186685,0
4174,186688,0
4175,186691,0
4176,186694,1
4177,186697,1
4178,186700,1
4179,186703,1
4180,186706,1
4181,186709,1
4182,186712,1
4183,186715,1
4184,186718,1
4185,186721,1
4186,186724,0
4187,186727,1
4188,186730,0
4189,186733,0
4190,186736,1
4191,186739,0
4192,186742,1
4193,186745,1
4194,186748,1
4195,186751,1
4196,186754,1
4197,186757,1
4198,186760,1
4199,186763,0
4200,186766,1
4201,186769,0
4202,186772,1
4203,186775,0
4204,186778,1
4205,186781,0
4206,186784,1
4207,186787,1
4208,186790,0
4209,186793,0
4210,186796,1
4211,186799,0
4212,186802,0
4213,186805,1
4214,186808,0
4215,186811,1
4216,186814,1
4217,186817,0
4218,186820,1
4219,186823,0
4220,186839,1
4221,186842,1
4222,186845,0
4223,186848,0
4224,186851,1
4225,186854,0
4226,186857,1
4227,186860,0
4228,186863,0
4229,186866,0
4230,186869,1
4231,186872,1
4232,186875,1
4233,186878,0
4234,186881,0
4235,186884,1
4236,186887,1
4237,186890,0
4238,186893,0
4239,186896,0
4240,186899,1
4241,186902,1
4242,186905,1
4243,186908,1
4244,186911,0
4245,186914,0
4246,186917,1
4247,186920,1
4248,186923,0
4249,186926,1
4250,186929,1
4251,186932,1
4252,186935,1
4253,186938,0
4254,186941,0
4255,186944,0
4256,186947,0
4257,186950,1
4258,186953,1
4259,186956,1
4260,186959,1
4261,186962,1
4262,186965,0
4263,186968,1
4264,186971,0
4265,186974,0
4266,186977,0
4267,186980,1
4268,186983,1
4269,186986,0
4270,186989,1
4271,186992,1
4272,186995,0
4273,186998,0
4274,187001,1
4275,187004,1
4276,187007,0
4277,187010,0
4278,187013,0
4279,187016,1
4280,187019,0
4281,187022,0
4282,187025,1
4283,187028,1
4284,187031,1
4285,187034,0
4286,187037,1
4287,187040,1
4288,187043,1
4289,187046,1
4290,187049,1
4291,187052,1
4292,187055,1
4293,187058,1
4294,187061,1
4295,187064,0
4296,187067,1
4297,187070,0
4298,187073,0
4299,187076,1
4300,187079,0
4301,187082,0
4302,187085,1
4303,187088,1
4304,187091,1
4305,187094,1
4306,187097,0
4307,187100,0
4308,187103,1
4309,187106,1
4310,187109,1
4311,187112,0
4312,187115,1
4313,187118,0
4314,187121,0
4315,187124,0
4316,187127,0
4317,187130,0
4318,187133,0
4319,187136,1
4320,187139,0
4321,187142,0
4322,187145,1
4323,187148,1
4324,187151,0
4325,187154,0
4326,187157,1
4327,187160,1
4328,187163,0
4329,187166,0
4330,187169,0
4331,187172,0
4332,187175,0
4333,187178,1
4334,187181,0
4335,187184,0
4336,187187,1
4337,187190,0
4338,187193,0
4339,187196,0
4340,187199,1
4341,187202,0
4342,187205,0
4343,187208,0
4344,187211,1
4345,187214,0
4346,187217,1
4347,187220,0
4348,187223,0
4349,187226,1
4350,187229,0
4351,187232,1
4352,187235,1
4353,187238,0
4354,187241,1
4355,187244,0
4356,187247,1
4357,187250,1
4358,187253,0
4359,187256,0
4360,187259,1
4361,187262,1
4362,187265,0
4363,187268,1
4364,187271,0
4365,187274,0
4366,187277,0
4367,187280,1
4368,187283,0
4369,187286,0
4370,187289,1
4371,187292,1
4372,187295,1
4373,187298,0
4374,187301,1
4375,187304,0
4376,187307,1
4377,187310,1
4378,187313,1
4379,187316,0
4380,187319,0
4381,187322,1
4382,187325,1
4383,187328,1
4384,187331,0
4385,187334,0
4386,187337,1
4387,187340,0
4388,187343,1
4389,187346,1
4390,187349,1
4391,187352,0
4392,187355,1
4393,187358,1
4394,187361,1
4395,187364,1
4396,187367,0
4397,187370,0
4398,187373,1
4399,187376,1
4400,187379,1
4401,187382,0
4402,187385,0
4403,187388,0
4404,187391,0
4405,187394,0
4406,187397,0
4407,187400,1
4408,187403,1
4409,187406,0
4410,187409,1
4411,187412,1
4412,187415,1
4413,187418,1
4414,187421,0
4415,187424,0
4416,187427,0
4417,187430,1
4418,187433,1
4419,187436,1
4420,187439,1
4421,187442,0
4422,187445,0
4423,187448,1
4424,187451,0
4425,187454,1
4426,187457,0
4427,187460,0
4428,187463,1
4429,187466,1
4430,187469,1
4431,187472,0
4432,187475,0
4433,187478,0
4434,187481,0
4435,187484,1
4436,187487,0
4437,187490,1
4438,187493,1
4439,187496,1
4440,187499,1
4441,187502,0
4442,187505,1
4443,187508,0
4444,187511,1
4445,187514,1
4446,187517,1
4447,187520,0
4448,187523,0
4449,187526,0
4450,187529,0
4451,187532,0
4452,187535,0
4453,187538,0
4454,187541,0
4455,187544,0
4456,187547,1
4457,187550,0
4458,187553,1
4459,187556,1
4460,187559,1
4461,187562,0
4462,187565,0
4463,187568,0
4464,187571,0
4465,187574,1
4466,187577,1
4467,187580,0
4468,187583,0
4469,187586,0
4470,187589,1
4471,187592,0
4472,187595,0
4473,187598,1
4474,187601,0
4475,187604,0
4476,187607,1
4477,187610,0
4478,187613,1
4479,187616,0
4480,187619,1
4481,187622,0
4482,187625,0
4483,187639,1
4484,187642,0
4485,187645,1
4486,187648,0
4487,187651,1
4488,187654,0
4489,187657,0
4490,187660,1
4491,187663,0
4492,187666,1
4493,187669,1
4494,187672,0
4495,187675,1
4496,187678,0
4497,187681,0
4498,187684,0
4499,187687,1
4500,187690,1
4501,187693,0
4502,187696,1
4503,187699,1
4504,187702,1
4505,187705,0
4506,187708,0
4507,187711,1
4508,187714,1
4509,187717,0
4510,187720,0
4511,187723,0
4512,187726,0
4513,187729,1
4514,187732,1
4515,187735,0
4516,187738,1
4517,187741,1
4518,187744,0
4519,187747,0
4520,187750,0
4521,187753,0
4522,187756,0
4523,187759,1
4524,187762,0
4525,187765,1
4526,187768,1
4527,187771,1
4528,187774,0
4529,187777,1
4530,187780,1
4531,187783,0
4532,187786,0
4533,187789,1
4534,187792,0
4535,187795,0
4536,187798,1
4537,187801,1
4538,187804,0
4539,187807,0
4540,187810,1
4541,187813,0
4542,187816,1
4543,187819,0
4544,187822,0
4545,187825,1
4546,187828,0
4547,187831,0
4548,187834,0
4549,187837,1
4550,187840,1
4551,187843,0
4552,187846,0
4553,187849,1
4554,187852,1
4555,187855,1
4556,187858,1
4557,187861,1
4558,187864,1
4559,187867,0
4560,187870,1
4561,187873,1
4562,187876,1
4563,187879,0
4564,187882,1
4565,187885,0
4566,187888,1
4567,187891,1
4568,187894,0
4569,187897,0
4570,187900,1
4571,187903,0
4572,187906,1
4573,187909,1
4574,187912,1
4575,187915,1
4576,187918,1
4577,187921,0
4578,187924,0
4579,187927,1
4580,187930,0
4581,187933,0
4582,187936,0
4583,187939,1
4584,187942,0
4585,187945,1
4586,187948,1
4587,187951,0
4588,187954,1
4589,187957,0
4590,187960,0
4591,187963,0
4592,187966,0
4593,187969,1
4594,187972,1
4595,187975,1
4596,187978,1
4597,187981,1
4598,187984,0
4599,187999,1
4600,188002,0
4601,188005,0
4602,188008,1
4603,188011,0
4604,188014,1
4605,188017,1
4606,188020,1
4607,188023,1
4608,188026,1
4609,188029,1
4610,188032,0
4611,188035,1
4612,188038,0
4613,188041,1
4614,188044,0
4615,188047,0
4616,188050,1
4617,188053,1
4618,188056,1
4619,188059,0
4620,188062,1
4621,188065,1
4622,188068,0
4623,188071,0
4624,188074,1
4625,188077,1
4626,188080,0
4627,188083,1
4628,188086,0
4629,188089,1
4630,188092,1
4631,188095,0
4632,188098,1
4633,188101,0
4634,188104,1
4635,188107,0
4636,188110,0
4637,188113,1
4638,188116,0
4639,188119,0
4640,188122,0
4641,188125,0
4642,188128,1
4643,188131,1
4644,188134,1
4645,188137,1
4646,188140,1
4647,188143,1
4648,188146,0
4649,188149,0
4650,188152,1
4651,188155,1
4652,188158,0
4653,188161,1
4654,188164,1
4655,188167,1
4656,188170,1
4657,188173,0
4658,188176,0
4659,188179,1
4660,188182,1
4661,188185,1
4662,188188,1
4663,188191,0
4664,188194,0
4665,188197,0
4666,188200,0
4667,188203,1
4668,188206,0
4669,188209,0
4670,188212,1
4671,188215,1
4672,188218,0
4673,188221,0
4674,188224,1
4675,188227,1
4676,188230,0
4677,188233,1
4678,188236,0
4679,188239,0
4680,188259,1
4681,188262,1
4682,188265,0
4683,188268,0
4684,188271,1
4685,188274,1
4686,188277,1
4687,188280,1
4688,188283,0
4689,188286,0
4690,188289,1
4691,188292,0
4692,188295,1
4693,188299,1
4694,188302,1
4695,188305,1
4696,188308,0
4697,188311,0
4698,188314,0
4699,188317,1
4700,188320,1
4701,188323,0
4702,188326,1
4703,188329,1
4704,188332,1
4705,188335,0
4706,188338,0
4707,188341,0
4708,188344,0
4709,188347,0
4710,188350,1
4711,188353,1
4712,188356,1
4713,188359,0
4714,188362,0
4715,188365,1
4716,188368,0
4717,188371,0
4718,188374,1
4719,188377,1
4720,188380,1
4721,188383,0
4722,188386,1
4723,188389,1
4724,188392,1
4725,188395,1
4726,188398,0
4727,188401,1
4728,188404,0
4729,188407,1
4730,188410,0
4731,188413,0
4732,188416,1
4733,188419,0
4734,188422,0
4735,188425,0
4736,188428,0
4737,188431,0
4738,188434,1
4739,188437,0
4740,188440,1
4741,188443,1
4742,188446,1
4743,188449,0
4744,188452,0
4745,188455,0
4746,188458,1
4747,188461,0
4748,188464,1
4749,188467,1
4750,188470,1
4751,188473,1
4752,188476,0
4753,188479,0
4754,188482,1
4755,188485,1
4756,188488,1
4757,188491,1
4758,188494,0
4759,188497,1
4760,188500,1
4761,188503,1
4762,188506,0
4763,188509,1
4764,188512,0
4765,188515,1
4766,188518,0
4767,188521,1
4768,188524,1
4769,188527,1
4770,188530,0
4771,188533,0
4772,188536,1
4773,188539,0
4774,188542,1
4775,188545,0
4776,188548,1
4777,188551,0
4778,188554,0
4779,188557,0
4780,188560,0
4781,188563,0
4782,188566,0
4783,188569,1
4784,188572,0
4785,188575,0
4786,188578,0
4787,188581,1
4788,188584,1
4789,188587,0
4790,188590,1
4791,188593,1
4792,188596,0
4793,188599,1
4794,188602,0
4795,188605,0
4796,188608,1
4797,188619,1
4798,188622,0
4799,188625,1
4800,188639,1
4801,188642,1
4802,188645,1
4803,188648,0
4804,188651,0
4805,188654,1
4806,188657,0
4807,188660,1
4808,188663,1
4809,188666,0
4810,188669,1
4811,188672,0
4812,188675,1
4813,188678,1
4814,188681,1
4815,188684,0
4816,188687,1
4817,188690,1
4818,188693,0
4819,188696,1
4820,188699,0
4821,188702,0
4822,188705,1
4823,188708,0
4824,188711,1
4825,188714,0
4826,188717,1
4827,188720,0
4828,188723,1
4829,188726,0
4830,188729,0
4831,188732,1
4832,188735,0
4833,188738,1
4834,188741,0
4835,188744,0
4836,188747,1
4837,188750,1
4838,188753,1
4839,188756,1
4840,188759,0
4841,188762,1
4842,188765,1
4843,188768,0
4844,188771,0
4845,188774,0
4846,188777,0
4847,188780,1
4848,188783,1
4849,188786,0
4850,188789,0
4851,188792,0
4852,188795,0
4853,188798,0
4854,188801,0
4855,188804,0
4856,188807,0
4857,188810,0
4858,188813,0
4859,188816,1
4860,188819,0
4861,188822,0
4862,188825,0
4863,188828,1
4864,188831,1
4865,188834,0
4866,188837,1
4867,188859,0
4868,188862,0
4869,188865,1
4870,188868,1
4871,188871,1
4872,188874,0
4873,188877,1
4874,188880,1
4875,188883,0
4876,188899,1
4877,188902,0
4878,188905,1
4879,188908,1
4880,188911,1
4881,188914,1
4882,188917,1
4883,188920,0
4884,188923,1
4885,188926,1
4886,188929,0
4887,188932,1
4888,188935,0
4889,188938,1
4890,188941,1
4891,188944,0
4892,188947,1
4893,188950,0
4894,188953,1
4895,188956,0
4896,188959,1
4897,188962,1
4898,188965,1
4899,188968,0
4900,188971,0
4901,188974,1
4902,188977,1
4903,188980,0
4904,188983,1
4905,188986,0
4906,188989,1
4907,188992,0
4908,188995,0
4909,188998,0
4910,189001,1
4911,189004,0
4912,189007,1
4913,189010,0
4914,189013,0
4915,189016,1
4916,189019,1
4917,189022,0
4918,189025,1
4919,189028,1
4920,189031,1
4921,189034,1
4922,189037,0
4923,189040,0
4924,189043,0
4925,189046,0
4926,189049,1
4927,189052,0
4928,189055,1
4929,189058,0
4930,189061,0
4931,189064,1
4932,189067,0
4933,189070,1
4934,189073,0
4935,189076,0
4936,189079,0
4937,189082,1
4938,189085,0
4939,189088,0
4940,189091,0
4941,189094,0
4942,189097,0
4943,189100,1
4944,189103,1
4945,189106,1
4946,189109,0
4947,189112,1
4948,189115,0
4949,189118,0
4950,189121,1
4951,189124,0
4952,189127,0
4953,189130,1
4954,189133,0
4955,189136,0
4956,189139,1
4957,189142,1
4958,189145,0
4959,189148,0
4960,189151,1
4961,189154,1
4962,189157,0
4963,189160,1
4964,189163,0
4965,189166,0
4966,189169,0
4967,189172,1
4968,189175,0
4969,189178,0
4970,189181,0
4971,189184,0
4972,189187,1
4973,189190,0
4974,189193,0
4975,189196,0
4976,189199,0
4977,189202,0
4978,189205,0
4979,189208,1
4980,189211,1
4981,189214,0
4982,189217,1
4983,189220,0
4984,189223,0
4985,189226,1
4986,189229,0
4987,189232,0
4988,189235,1
4989,189238,1
4990,189241,1
4991,189244,0
4992,189247,0
4993,189250,1
4994,189253,1
4995,189256,1
4996,189259,1
4997,189262,0
4998,189265,1
4999,189268,0
5000,189271,1
5001,189274,0
5002,189277,1
5003,189280,0
5004,189283,1
5005,189286,0
5006,189289,1
5007,189292,1
5008,189295,1
5009,189298,0
5010,189301,1
5011,189304,0
5012,189307,0
5013,189310,0
5014,189313,1
5015,189316,0
5016,189319,1
5017,189322,0
5018,189325,0
5019,189328,1
5020,189331,1
5021,189334,0
5022,189337,1
5023,189340,0
5024,189343,0
5025,189346,0
5026,189349,1
5027,189352,1
5028,189355,1
5029,189358,1
5030,189361,1
5031,189364,0
5032,189367,1
5033,189370,0
5034,189373,1
5035,189376,0
5036,189379,0
5037,189382,1
5038,189385,1
5039,189388,0
5040,189391,1
5041,189394,1
5042,189397,1
5043,189400,1
5044,189403,0
5045,189406,1
5046,189409,1
5047,189412,0
5048,189415,0
5049,189418,1
5050,189421,0
